Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
CHALLENGER MEN - SINGLES Chicago (USA),hard,header
06.08.,Svajda T.,2,,,,,,4,1,54%,81% (17/21),67% (12/18),50% (1/2),43% (10/23),70% (16/23),56% (5/9),9,9,33% (1/3),74% (29/39),57% (26/46),65% (55/85),8,0,88% (7/8),71% (5/7),80% (12/15),[],[],[],[],[],0
06.08.,Zhukayev B.,0,,,,,,5,4,50%,57% (13/23),30% (7/23),44% (4/9),19% (4/21),33% (6/18),50% (1/2),11,35,25% (2/8),43% (20/46),26% (10/39),35% (30/85),2,0,29% (2/7),13% (1/8),20% (3/15),[],[],[],[],[],0
06.08.,Svajda T.,2,,,,,,4,3,57%,53% (27/51),58% (22/38),73% (11/15),43% (17/40),63% (22/35),56% (5/9),28,29,62% (8/13),55% (49/89),52% (39/75),54% (88/164),5,0,64% (7/11),50% (5/10),57% (12/21),[],[],[],[],[],0
06.08.,Jung J.,0,,,,,,2,6,53%,57% (23/40),37% (13/35),44% (4/9),47% (24/51),42% (16/38),27% (4/15),32,39,56% (10/18),48% (36/75),45% (40/89),46% (76/164),5,1,50% (5/10),36% (4/11),43% (9/21),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Chicago (USA) - Qualification,hard,header
04.08.,Svajda T.,2,,,,,,2,3,60%,69% (25/36),46% (11/24),71% (5/7),48% (22/46),62% (16/26),50% (5/10),18,23,100% (4/4),60% (36/60),53% (38/72),56% (74/132),7,0,78% (7/9),50% (5/10),63% (12/19),[],[],[],[],[],0
04.08.,Hussey G.,0,,,,,,2,4,64%,52% (24/46),38% (10/26),50% (5/10),31% (11/36),54% (13/24),29% (2/7),16,37,89% (8/9),47% (34/72),40% (24/60),44% (58/132),3,0,50% (5/10),22% (2/9),37% (7/19),[],[],[],[],[],0
03.08.,Svajda T.,2,,,,,,1,2,57%,63% (24/38),55% (16/29),40% (2/5),38% (15/39),61% (19/31),42% (5/12),8,15,67% (4/6),60% (40/67),49% (34/70),54% (74/137),6,0,70% (7/10),50% (5/10),60% (12/20),[],[],[],[],[],0
03.08.,Vandecasteele Q.,0,,,,,,3,5,56%,62% (24/39),39% (12/31),58% (7/12),37% (14/38),45% (13/29),60% (3/5),30,47,69% (9/13),51% (36/70),40% (27/67),46% (63/137),4,3,50% (5/10),30% (3/10),40% (8/20),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Lexington (USA) - Qualification,hard,header
28.07.,Svajda T.,1,,,,,,1,5,45%,70% (26/37),40% (18/45),17% (1/6),26% (10/39),39% (11/28),67% (2/3),12,42,60% (3/5),54% (44/82),31% (21/67),44% (65/149),3,0,64% (9/14),15% (2/13),41% (11/27),[],[],[],[],[],0
28.07.,Rybakov A.,2,,,,,,7,4,58%,74% (29/39),61% (17/28),33% (1/3),30% (11/37),60% (27/45),83% (5/6),21,33,67% (6/9),69% (46/67),46% (38/82),56% (84/149),7,0,85% (11/13),36% (5/14),59% (16/27),[],[],[],[],[],0
28.07.,Svajda T.,2,,,,,,2,1,55%,68% (25/37),53% (16/30),67% (2/3),53% (19/36),39% (7/18),50% (4/8),18,35,63% (5/8),61% (41/67),48% (26/54),55% (67/121),5,0,89% (8/9),50% (4/8),71% (12/17),[],[],[],[],[],0
28.07.,Huang T.,0,,,,,,0,3,67%,47% (17/36),61% (11/18),50% (4/8),32% (12/37),47% (14/30),33% (1/3),9,38,75% (3/4),52% (28/54),39% (26/67),45% (54/121),5,4,50% (4/8),11% (1/9),29% (5/17),[],[],[],[],[],0
ITF MEN - SINGLES M25 Dallas,hard,header
ITF MEN - SINGLES M15 Lakewood,hard,header
ITF MEN - SINGLES M15 San Diego,hard,header
CHALLENGER MEN - SINGLES Tyler (USA),hard,header
06.06.,Svajda T.,0,,,,,,8,3,46%,76% (25/33),47% (18/38),75% (6/8),32% (14/44),38% (13/34),17% (1/6),61% (42/69),35% (25/72),48% (67/141),2,1,80% (8/10),10% (1/10),45% (9/20),[],[],[],[],[],0
06.06.,Kypson P.,2,,,,,,7,1,56%,68% (30/44),62% (21/34),83% (5/6),24% (8/33),53% (20/38),25% (2/8),65% (47/72),39% (27/69),52% (74/141),8,0,90% (9/10),20% (2/10),55% (11/20),[],[],[],[],[],0
05.06.,Svajda T.,2,,,,,,5,2,47%,60% (18/30),53% (18/34),17% (1/6),54% (19/35),59% (16/27),64% (7/11),56% (36/64),56% (35/62),56% (71/126),8,0,55% (6/11),70% (7/10),62% (13/21),[],[],[],[],[],0
05.06.,Ivashka I.,0,,,,,,1,5,56%,46% (16/35),41% (11/27),36% (4/11),40% (12/30),47% (16/34),83% (5/6),44% (27/62),44% (28/64),44% (55/126),2,0,30% (3/10),45% (5/11),38% (8/21),[],[],[],[],[],0
03.06.,Svajda T.,0,,,,,,1,0,71%,80% (4/5),50% (1/2),0% (0/0),33% (3/9),67% (2/3),0% (0/1),71% (5/7),42% (5/12),53% (10/19),4,0,100% (1/1),0% (0/1),50% (1/2),[],[],[],[],[],0
03.06.,Draxl L.,0,,,,,,0,0,75%,67% (6/9),33% (1/3),100% (1/1),20% (1/5),50% (1/2),0% (0/0),58% (7/12),29% (2/7),47% (9/19),6,0,100% (1/1),0% (0/1),50% (1/2),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Little Rock (USA) - Qualification,hard,header
28.05.,Svajda T.,1,,,,,,3,4,52%,71% (35/49),54% (25/46),71% (5/7),27% (15/56),43% (17/40),14% (1/7),63% (60/95),33% (32/96),48% (92/191),2,0,86% (12/14),7% (1/14),46% (13/28),[],[],[],[],[],0
28.05.,Soriano Barrera A.,2,,,,,,11,5,58%,73% (41/56),57% (23/40),86% (6/7),29% (14/49),46% (21/46),29% (2/7),67% (64/96),37% (35/95),52% (99/191),8,0,93% (13/14),14% (2/14),54% (15/28),[],[],[],[],[],0
ITF MEN - SINGLES M25 Bakersfield,hard,header
ATP - SINGLES Indian Wells (USA) - Qualification,hard,header
04.03.,Svajda T.,0,,,,,,0,2,56%,48% (14/29),30% (7/23),45% (5/11),24% (8/33),63% (12/19),22% (2/9),14,30,73% (8/11),40% (21/52),38% (20/52),39% (41/104),3,0,25% (2/8),25% (2/8),25% (4/16),[],[],[],[],[],0
04.03.,Majchrzak K.,2,,,,,,4,0,63%,76% (25/33),37% (7/19),78% (7/9),52% (15/29),70% (16/23),55% (6/11),15,19,0% (0/1),62% (32/52),60% (31/52),61% (63/104),7,0,75% (6/8),75% (6/8),75% (12/16),[],[],[],[],[],0
CHALLENGER MEN - SINGLES San Diego (USA),hard,header
01.03.,Svajda T.,0,,,,,,3,1,54%,54% (20/37),47% (15/32),58% (7/12),34% (14/41),53% (17/32),15% (2/13),51% (35/69),42% (31/73),46% (66/142),4,0,50% (5/10),22% (2/9),37% (7/19),[],[],[],[],[],0
01.03.,McDonald M.,2,,,,,,5,4,56%,66% (27/41),47% (15/32),85% (11/13),46% (17/37),53% (17/32),42% (5/12),58% (42/73),49% (34/69),54% (76/142),6,0,78% (7/9),50% (5/10),63% (12/19),[],[],[],[],[],0
26.02.,Svajda T.,2,,,,,,0,3,60%,77% (24/31),52% (11/21),67% (2/3),42% (19/45),54% (13/24),25% (4/16),67% (35/52),46% (32/69),55% (67/121),6,0,89% (8/9),44% (4/9),67% (12/18),[],[],[],[],[],0
26.02.,Krueger M.,0,,,,,,4,5,65%,58% (26/45),46% (11/24),75% (12/16),23% (7/31),48% (10/21),33% (1/3),54% (37/69),33% (17/52),45% (54/121),4,1,56% (5/9),11% (1/9),33% (6/18),[],[],[],[],[],0
25.02.,Svajda T.,2,,,,,,1,2,57%,63% (29/46),54% (19/35),67% (6/9),40% (17/42),58% (15/26),100% (4/4),59% (48/81),47% (32/68),54% (80/149),6,0,73% (8/11),40% (4/10),57% (12/21),[],[],[],[],[],0
